,S_0-19,I_0-19,R_0-19,V_0-19,S_20-49,I_20-49,R_20-49,V_20-49,S_50-80+,I_50-80+,R_50-80+,V_50-80+,S_total,I_total,R_total,V_total
2020-12-09,6243597.656087322,452.5474035811423,2022.7965090993068,0.0,31519342.51392204,2457.880283552767,8706.605794405568,0.0,13960112.807551192,3557.9761355159185,8489.21631329651,0.0,51723052.97756055,6468.403822649828,19218.61861680139,0.0
2020-12-10,6243517.770069867,485.9789781334996,2069.2509520014532,0.0,31519103.04695101,2536.8762200178876,8867.07682896842,0.0,13959848.253632758,3694.1932810111543,8617.553086234791,0.0,51722469.07065363,6717.048479162542,19553.880867204665,0.0
2020-12-11,6243449.116324628,504.2316058668122,2119.652069508133,0.0,31518880.382335156,2593.3154937564027,9033.302171085063,0.0,13959548.341398189,3859.872003522619,8751.786598292154,0.0,51721877.84005797,6957.419103145834,19904.74083888535,0.0
2020-12-12,6243321.7145849755,579.2026551334607,2172.0827598939436,0.0,31518572.54884601,2731.070307774621,9203.380846211418,0.0,13959133.10033118,4133.598147353533,8893.301521469779,0.0,51721027.36376216,7443.871110261614,20268.76512757514,0.0
2020-12-13,6243222.574998775,616.8023232417781,2233.6226779861563,0.0,31518249.56575024,2873.3914722293275,9384.042777525654,0.0,13958626.566838788,4486.185436280563,9047.2477249354,0.0,51720098.7075878,7976.379231751669,20664.913180447213,0.0
2020-12-14,6243148.743112165,624.7020328365559,2299.554855001448,0.0,31518003.48596413,2927.8999800342935,9575.61405583306,0.0,13958331.803077413,4610.848535339096,9217.34838725219,0.0,51719484.03215371,8163.450548209946,21092.5172980867,0.0
2020-12-15,6243066.24088644,640.6142787319864,2366.14483483101,0.0,31517714.36403441,3021.884281691447,9770.751683896742,0.0,13957928.889819348,4838.52780564282,9392.582375012207,0.0,51718709.494740196,8501.026366066253,21529.478893739957,0.0
2020-12-16,6242964.071610614,674.5374938904881,2434.3908954983535,0.0,31517364.21779283,3170.067886311057,9972.714320857649,0.0,13957410.852731224,5171.278470971964,9577.868797808002,0.0,51717739.14213467,9015.883851173508,21984.974014164003,0.0
2020-12-17,6242865.243565091,701.2203071541771,2506.536127757173,0.0,31517042.081364434,3278.952251747239,10185.966383817178,0.0,13956927.742075212,5454.05710436531,9778.200820425616,0.0,51716835.06700474,9434.229663266726,22470.70333199997,0.0
2020-12-18,6242771.77624573,719.567768759905,2581.6559855126593,0.0,31516705.011196353,3394.7992148522185,10407.189588793113,0.0,13956406.633079315,5762.262363355775,9991.104557333023,0.0,51715883.42052139,9876.629346967899,22979.950131638798,0.0
2020-12-19,6242686.684525657,727.6217976649168,2658.693676680084,0.0,31516361.047144298,3509.0308800194844,10636.921975681882,0.0,13955905.588602101,6036.673769914698,10217.737627987435,0.0,51714953.32027206,10273.326447599098,23513.3532803494,0.0
2020-12-20,6242581.977994041,754.6690729568022,2736.352933004798,0.0,31515982.231754176,3649.7813169778674,10874.98692884509,0.0,13955410.677290242,6292.913428958793,10456.409280803404,0.0,51713974.887038454,10697.363818893462,24067.749142653294,0.0
2020-12-21,6242504.659758706,751.335438837202,2817.004802459375,0.0,31515699.60668882,3683.849467668704,11123.543843510028,0.0,13954966.959336646,6486.8535843687705,10706.187078989407,0.0,51713171.225784175,10922.038490874676,24646.73572495881,0.0
2020-12-22,6242431.744782718,744.4185089825518,2896.8367083017283,0.0,31515423.224408038,3710.0899618522017,11373.68563010898,0.0,13954573.490272041,6622.484612319069,10964.02511564416,0.0,51712428.45946279,11076.993083153822,25234.547454054868,0.0
